iter	Logloss
0	0.6412731423
1	0.5913284485
2	0.5523533888
3	0.5213612868
4	0.4944910885
5	0.4666714099
6	0.4460536863
7	0.4273309689
8	0.406522714
9	0.3905468992
10	0.3767863166
11	0.3651896318
12	0.3539212146
13	0.3444732325
14	0.3368739382
15	0.3289223583
16	0.3213186639
17	0.3147642073
18	0.3095762598
19	0.3029841346
20	0.2979706579
21	0.2929571685
22	0.2894502529
23	0.2850125105
24	0.2822116676
25	0.2792962948
26	0.2753861385
27	0.2717612447
28	0.2688859758
29	0.2660656344
30	0.2636575425
31	0.2614244305
32	0.259026411
33	0.2567527623
34	0.2551271465
35	0.2528675174
36	0.2512041592
37	0.2493630524
38	0.2473230216
39	0.2457902436
40	0.2443180911
41	0.2431668542
42	0.2411435505
43	0.240089106
44	0.2390650469
45	0.2381715883
46	0.2369687677
47	0.2356409858
48	0.2345290334
49	0.2333685689
50	0.2324391162
51	0.2316331513
52	0.2305664968
53	0.2292559995
54	0.2283463379
55	0.2274905403
56	0.2268143489
57	0.225975169
58	0.2250732666
59	0.2243198016
60	0.2231514303
61	0.2224789747
62	0.2215730007
63	0.2208018898
64	0.2202476746
65	0.2195315701
66	0.2188110861
67	0.2182835915
68	0.2178222142
69	0.2171507715
70	0.2165448836
71	0.2160199772
72	0.214958677
73	0.2145159711
74	0.2140071887
75	0.2133927399
76	0.2127249745
77	0.212119308
78	0.2113244513
79	0.2106208623
80	0.2099122957
81	0.2090300089
82	0.2083660479
83	0.2077651072
84	0.2072525864
85	0.2067416816
86	0.2062323216
87	0.205661023
88	0.2050664824
89	0.204586991
90	0.204045589
91	0.203544179
92	0.2029881442
93	0.202585868
94	0.2021550795
95	0.2017184964
96	0.2011112012
97	0.2007674916
98	0.200411829
99	0.1999178372
100	0.1996082639
101	0.1992519193
102	0.1988004515
103	0.1982690049
104	0.1975711291
105	0.1970661054
106	0.1965231689
107	0.1961970237
108	0.1956858263
109	0.1950593532
110	0.1946059005
111	0.1942027997
112	0.1938934072
113	0.1935274787
114	0.1931086738
115	0.1927643433
116	0.1925146142
117	0.1921047442
118	0.1917275753
119	0.1912406784
120	0.1908610359
121	0.1904445213
122	0.1901127622
123	0.1897783591
124	0.1894297024
125	0.189102524
126	0.1888459061
127	0.1884851131
128	0.1881840447
129	0.1879158656
130	0.1874949562
131	0.187106422
132	0.1867519732
133	0.186472742
134	0.1861557073
135	0.1858531781
136	0.1855866914
137	0.1852301915
138	0.1849666847
139	0.1846263293
140	0.1844104769
141	0.1841234076
142	0.1838033828
143	0.1834884323
144	0.1832985398
145	0.1829130314
146	0.1826711328
147	0.1823898504
148	0.1821315401
149	0.1818753345
150	0.1815992156
151	0.1812897696
152	0.1810627353
153	0.1807624557
154	0.1805699064
155	0.1803142886
156	0.180053996
157	0.1796717246
158	0.1793745676
159	0.1791644233
160	0.178904095
161	0.1786925358
162	0.1784358518
163	0.1779831345
164	0.177651691
165	0.1774726852
166	0.177168451
167	0.1767964099
168	0.1764857895
169	0.1762671862
170	0.1760755212
171	0.1759307866
172	0.1756849397
173	0.1753019584
174	0.1749568619
175	0.1747625948
176	0.1743382205
177	0.1741195065
178	0.1738507574
179	0.1736539328
180	0.1734038665
181	0.1731607451
182	0.172925407
183	0.1726964412
184	0.1724565759
185	0.1722047537
186	0.1718442737
187	0.1715826387
188	0.1713048364
189	0.1710743309
190	0.1709209605
191	0.1707646661
192	0.1706369551
193	0.1703802596
194	0.1701869736
195	0.1698932953
196	0.169754055
197	0.1695137673
198	0.1693413437
199	0.1690394622
200	0.1687975267
201	0.1685426342
202	0.1682822079
203	0.1680999193
204	0.1679035401
205	0.1677421814
206	0.1675616768
207	0.1673499763
208	0.1671632928
209	0.1669710107
210	0.1667231266
211	0.1664906859
212	0.1661728585
213	0.1660101931
214	0.1658365989
215	0.1656771056
216	0.1654314915
217	0.1653331276
218	0.1651365676
219	0.1649360199
220	0.1647645621
221	0.1645356968
222	0.1643728392
223	0.1641255545
224	0.1638626814
225	0.1637016141
226	0.1634766857
227	0.1632157695
228	0.162975422
229	0.1627470746
230	0.162559041
231	0.1624301926
232	0.1622644924
233	0.1620968888
234	0.1620154848
235	0.1618787589
236	0.1617104109
237	0.1614757777
238	0.1613165885
239	0.161052018
240	0.1608253515
241	0.160573729
242	0.1603308341
243	0.1601003516
244	0.1599150525
245	0.159760687
246	0.1595835988
247	0.1593932635
248	0.1591786759
249	0.1588441532
250	0.1586971092
