iter	Passed	Remaining
0	23	23658
1	33	16942
2	46	15574
3	60	15007
4	73	14534
5	85	14226
6	100	14185
7	113	14128
8	170	18821
9	184	18235
10	198	17811
11	214	17635
12	229	17424
13	241	17035
14	254	16732
15	265	16310
16	274	15880
17	283	15439
18	291	15039
19	299	14675
20	308	14372
21	318	14165
22	329	13999
23	340	13845
24	356	13902
25	366	13721
26	380	13700
27	421	14642
28	508	17036
29	543	17578
30	560	17515
31	589	17818
32	623	18256
33	649	18459
34	681	18785
35	757	20295
36	805	20973
37	876	22189
38	967	23832
39	1061	25480
40	1228	28726
41	1473	33604
42	1534	34146
43	1565	34004
44	1592	33804
45	1616	33518
46	1710	34678
47	1851	36726
48	1912	37114
49	1966	37358
50	2048	38124
51	2143	39085
52	2237	39976
53	2259	39587
54	2345	40306
55	2430	40973
56	2531	41887
57	2615	42483
58	2699	43059
59	2800	43878
60	2913	44844
61	3013	45589
62	3081	45838
63	3122	45673
64	3184	45812
65	3259	46132
66	3350	46655
67	3405	46669
68	3483	47008
69	3576	47517
70	3643	47669
71	3786	48810
72	3896	49479
73	3940	49303
74	4005	49396
75	4043	49161
76	4106	49227
77	4139	48928
78	4190	48856
79	4279	49214
80	4350	49353
81	4380	49040
82	4413	48764
83	4458	48615
84	4495	48390
85	4522	48059
86	4550	47754
87	4581	47476
88	4614	47230
89	4651	47027
90	4675	46699
91	4691	46299
92	4708	45917
93	4720	45495
94	4734	45106
95	4753	44758
96	4768	44393
97	4779	43995
98	4791	43604
99	4803	43228
100	4815	42866
101	4826	42493
102	4843	42184
103	4861	41884
104	4875	41559
105	4887	41219
106	4901	40907
107	4916	40604
108	4952	40484
109	4993	40403
110	5028	40275
111	5062	40135
112	5098	40019
113	5154	40058
114	5185	39904
115	5222	39795
116	5245	39584
117	5264	39346
118	5285	39131
119	5309	38938
120	5331	38731
121	5348	38494
122	5367	38270
123	5391	38087
124	5408	37861
125	5442	37752
126	5465	37568
127	5482	37350
128	5497	37120
129	5514	36902
130	5528	36676
131	5540	36435
132	5553	36201
133	5565	35969
134	5579	35752
135	5598	35566
136	5612	35354
137	5627	35151
138	5645	34967
139	5664	34796
140	5681	34613
141	5696	34421
142	5714	34246
143	5729	34059
144	5746	33884
145	5770	33752
146	5783	33562
147	5803	33409
148	5823	33261
149	5845	33123
150	5868	32995
151	5899	32914
152	5920	32773
153	5953	32705
154	5971	32553
155	5989	32402
156	6016	32306
157	6031	32141
158	6047	31987
159	6062	31826
160	6075	31658
161	6092	31517
162	6109	31371
163	6125	31225
164	6140	31075
165	6154	30922
166	6168	30767
167	6185	30631
168	6202	30498
169	6216	30352
170	6231	30211
171	6244	30059
172	6260	29928
173	6273	29779
174	6286	29636
175	6299	29491
176	6310	29341
177	6322	29194
178	6334	29054
179	6345	28908
180	6356	28762
181	6377	28662
182	6391	28536
183	6406	28409
184	6418	28276
185	6432	28150
186	6449	28037
187	6462	27911
188	6476	27790
189	6492	27678
190	6507	27562
191	6522	27449
192	6534	27324
193	6551	27217
194	6565	27105
195	6583	27006
196	6599	26900
197	6618	26807
198	6640	26727
199	6663	26654
200	6685	26574
201	6705	26488
202	6728	26418
203	6750	26342
204	6769	26254
205	6788	26163
206	6801	26057
207	6814	25948
208	6830	25851
209	6843	25744
210	6859	25650
211	6881	25579
212	6903	25507
213	6927	25443
214	6949	25372
215	6966	25286
216	6984	25202
217	6997	25102
218	7010	25001
219	7023	24901
220	7034	24796
221	7047	24698
222	7058	24593
223	7070	24495
224	7084	24401
225	7095	24299
226	7108	24206
227	7132	24149
228	7155	24092
229	7177	24030
230	7200	23972
231	7222	23907
232	7246	23854
233	7279	23828
234	7296	23752
235	7318	23690
236	7335	23614
237	7354	23545
238	7374	23479
239	7395	23419
240	7410	23338
241	7426	23260
242	7458	23233
243	7480	23177
244	7529	23202
245	7561	23176
246	7596	23157
247	7628	23130
248	7658	23099
249	7699	23098
250	7735	23083
251	7763	23043
252	7783	22980
253	7805	22924
254	7827	22869
255	7847	22805
256	7870	22752
257	7901	22725
258	7923	22669
259	7954	22639
260	7986	22613
261	8012	22569
262	8033	22512
263	8058	22464
264	8074	22394
265	8086	22312
266	8097	22229
267	8110	22153
268	8125	22082
269	8138	22004
270	8151	21926
271	8165	21855
272	8181	21786
273	8198	21723
274	8210	21645
275	8223	21572
276	8236	21497
277	8247	21420
278	8260	21346
279	8273	21274
280	8288	21208
281	8299	21131
282	8310	21055
283	8322	20983
284	8333	20907
285	8344	20830
286	8354	20754
287	8364	20678
288	8374	20602
289	8384	20527
290	8394	20451
291	8404	20379
292	8416	20309
293	8430	20243
294	8440	20171
295	8452	20103
296	8466	20040
297	8480	19976
298	8492	19910
299	8503	19841
300	8515	19775
301	8529	19713
302	8542	19650
303	8560	19598
304	8575	19541
305	8599	19504
306	8619	19456
307	8637	19405
308	8652	19350
309	8669	19296
310	8684	19240
311	8699	19182
312	8709	19117
313	8720	19051
314	8732	18989
315	8743	18925
316	8753	18860
317	8764	18795
318	8773	18730
319	8784	18666
320	8795	18605
321	8806	18542
322	8817	18480
323	8828	18419
324	8839	18358
325	8850	18297
326	8864	18244
327	8876	18186
328	8888	18127
329	8899	18067
330	8912	18012
331	8924	17955
332	8935	17897
333	8949	17845
334	8960	17787
335	8970	17728
336	8981	17669
337	8994	17616
338	9004	17557
339	9014	17499
340	9024	17439
341	9034	17382
342	9047	17329
343	9058	17274
344	9069	17218
345	9081	17166
346	9092	17110
347	9105	17060
348	9117	17007
349	9130	16957
350	9143	16906
351	9160	16862
352	9178	16823
353	9196	16781
354	9212	16737
355	9226	16690
356	9240	16643
357	9255	16598
358	9268	16549
359	9279	16497
360	9290	16444
361	9300	16391
362	9312	16342
363	9324	16291
364	9335	16240
365	9346	16190
366	9360	16144
367	9378	16105
368	9392	16061
369	9408	16019
370	9419	15970
371	9430	15920
372	9442	15873
373	9454	15824
374	9464	15774
375	9474	15724
376	9485	15674
377	9494	15623
378	9505	15574
379	9514	15524
380	9526	15477
381	9536	15428
382	9546	15378
383	9555	15329
384	9566	15281
385	9576	15233
386	9588	15188
387	9600	15142
388	9610	15094
389	9619	15046
390	9629	14999
391	9640	14951
392	9650	14905
393	9660	14858
394	9671	14812
395	9681	14767
396	9694	14724
397	9705	14679
398	9720	14642
399	9734	14601
400	9747	14560
401	9763	14524
402	9775	14481
403	9787	14439
404	9801	14399
405	9815	14360
406	9828	14319
407	9841	14279
408	9854	14239
409	9867	14199
410	9878	14157
411	9891	14117
412	9903	14076
413	9920	14042
414	9934	14004
415	9947	13965
416	9960	13925
417	9976	13891
418	9991	13854
419	10011	13824
420	10031	13796
421	10055	13772
422	10074	13741
423	10090	13707
424	10105	13671
425	10115	13630
426	10127	13589
427	10138	13549
428	10148	13507
429	10158	13465
430	10168	13424
431	10179	13383
432	10189	13342
433	10200	13302
434	10210	13262
435	10221	13221
436	10232	13182
437	10245	13146
438	10257	13108
439	10268	13068
440	10278	13029
441	10289	12989
442	10298	12948
443	10309	12910
444	10321	12872
445	10332	12834
446	10346	12799
447	10357	12761
448	10368	12723
449	10379	12685
450	10390	12648
451	10402	12612
452	10414	12575
453	10426	12539
454	10438	12503
455	10449	12466
456	10460	12429
457	10471	12392
458	10481	12354
459	10491	12316
460	10501	12278
461	10510	12240
462	10520	12202
463	10531	12166
464	10544	12132
465	10556	12097
466	10570	12064
467	10586	12033
468	10600	12002
469	10614	11969
470	10627	11935
471	10641	11903
472	10653	11870
473	10667	11837
474	10681	11806
475	10694	11772
476	10707	11740
477	10721	11708
478	10731	11672
479	10741	11637
480	10757	11607
481	10767	11571
482	10777	11536
483	10787	11501
484	10799	11467
485	10810	11432
486	10820	11398
487	10832	11365
488	10845	11333
489	10859	11303
490	10871	11269
491	10882	11236
492	10901	11211
493	10922	11187
494	10935	11156
495	10949	11125
496	10964	11096
497	10978	11066
498	10992	11036
499	11007	11007
500	11020	10976
501	11035	10947
502	11047	10916
503	11060	10884
504	11072	10853
505	11083	10821
506	11096	10789
507	11107	10757
508	11117	10724
509	11127	10691
510	11138	10659
511	11148	10626
512	11159	10593
513	11173	10564
514	11184	10532
515	11194	10499
516	11205	10468
517	11215	10436
518	11225	10403
519	11237	10372
520	11251	10344
521	11264	10315
522	11279	10287
523	11292	10258
524	11305	10228
525	11318	10199
526	11331	10169
527	11343	10140
528	11358	10113
529	11375	10087
530	11396	10066
531	11421	10047
532	11444	10027
533	11464	10004
534	11487	9984
535	11516	9969
536	11540	9950
537	11561	9928
538	11581	9905
539	11595	9877
540	11608	9848
541	11622	9821
542	11635	9792
543	11647	9763
544	11659	9734
545	11669	9703
546	11691	9682
547	11702	9652
548	11711	9620
549	11721	9590
550	11731	9559
551	11741	9529
552	11752	9499
553	11762	9469
554	11773	9439
555	11785	9411
556	11795	9381
557	11805	9351
558	11815	9321
559	11827	9293
560	11837	9263
561	11847	9233
562	11858	9204
563	11868	9175
564	11878	9145
565	11886	9114
566	11896	9084
567	11905	9054
568	11915	9025
569	11924	8996
570	11940	8971
571	11952	8943
572	11964	8915
573	11979	8890
574	11994	8865
575	12010	8840
576	12023	8814
577	12037	8788
578	12050	8762
579	12063	8735
580	12077	8710
581	12090	8683
582	12103	8657
583	12116	8630
584	12128	8604
585	12141	8577
586	12158	8554
587	12172	8529
588	12184	8502
589	12195	8474
590	12206	8447
591	12219	8421
592	12232	8395
593	12244	8368
594	12255	8341
595	12269	8317
596	12281	8290
597	12292	8263
598	12304	8237
599	12316	8211
600	12328	8184
601	12340	8158
602	12350	8131
603	12361	8104
604	12374	8079
605	12387	8053
606	12401	8029
607	12415	8004
608	12427	7979
609	12442	7954
610	12456	7930
611	12469	7905
612	12492	7886
613	12507	7862
614	12519	7837
615	12533	7813
616	12548	7789
617	12561	7764
618	12573	7739
619	12584	7713
620	12597	7688
621	12608	7662
622	12619	7636
623	12631	7611
624	12644	7586
625	12658	7562
626	12671	7538
627	12684	7513
628	12699	7490
629	12714	7467
630	12727	7442
631	12741	7418
632	12754	7395
633	12767	7370
634	12781	7346
635	12794	7322
636	12806	7297
637	12819	7273
638	12831	7248
639	12843	7224
640	12856	7200
641	12868	7175
642	12880	7151
643	12893	7127
644	12909	7104
645	12923	7081
646	12937	7058
647	12952	7035
648	12966	7012
649	12985	6992
650	13003	6971
651	13021	6950
652	13038	6928
653	13058	6908
654	13074	6886
655	13087	6863
656	13100	6839
657	13113	6816
658	13127	6792
659	13141	6769
660	13152	6745
661	13164	6721
662	13176	6697
663	13189	6674
664	13199	6649
665	13213	6626
666	13227	6603
667	13240	6580
668	13254	6557
669	13276	6539
670	13292	6517
671	13310	6496
672	13329	6476
673	13352	6458
674	13364	6434
675	13375	6410
676	13385	6386
677	13397	6362
678	13408	6338
679	13420	6315
680	13436	6293
681	13447	6270
682	13458	6246
683	13469	6222
684	13480	6198
685	13489	6174
686	13500	6150
687	13510	6126
688	13521	6103
689	13532	6079
690	13546	6057
691	13556	6033
692	13569	6011
693	13581	5988
694	13594	5965
695	13608	5943
696	13621	5921
697	13635	5899
698	13646	5876
699	13658	5853
700	13668	5829
701	13679	5807
702	13690	5783
703	13702	5761
704	13713	5738
705	13724	5715
706	13736	5692
707	13753	5672
708	13764	5649
709	13776	5626
710	13787	5604
711	13800	5582
712	13812	5560
713	13824	5537
714	13836	5515
715	13848	5492
716	13858	5470
717	13871	5448
718	13882	5425
719	13893	5403
720	13904	5380
721	13915	5358
722	13926	5335
723	13937	5313
724	13950	5291
725	13961	5269
726	13974	5247
727	13988	5226
728	14001	5204
729	14014	5183
730	14026	5161
731	14040	5140
732	14053	5119
733	14068	5098
734	14082	5077
735	14093	5055
736	14107	5034
737	14121	5013
738	14134	4991
739	14146	4970
740	14158	4948
741	14170	4927
742	14181	4905
743	14193	4883
744	14203	4861
745	14212	4839
746	14220	4816
747	14229	4793
748	14237	4771
749	14245	4748
750	14254	4726
751	14264	4704
752	14272	4681
753	14282	4659
754	14294	4638
755	14306	4617
756	14317	4595
757	14330	4575
758	14341	4553
759	14353	4532
760	14365	4511
761	14376	4490
762	14388	4469
763	14400	4448
764	14412	4427
765	14424	4406
766	14434	4384
767	14444	4363
768	14457	4342
769	14467	4321
770	14476	4299
771	14486	4278
772	14494	4256
773	14503	4234
774	14512	4213
775	14524	4192
776	14533	4171
777	14541	4149
778	14549	4127
779	14557	4106
780	14566	4084
781	14575	4063
782	14583	4041
783	14591	4020
784	14599	3998
785	14608	3977
786	14616	3955
787	14624	3934
788	14634	3913
789	14644	3892
790	14654	3872
791	14664	3851
792	14675	3830
793	14685	3810
794	14696	3789
795	14707	3769
796	14717	3748
797	14727	3727
798	14736	3707
799	14746	3686
800	14757	3666
801	14766	3645
802	14776	3625
803	14788	3605
804	14797	3584
805	14805	3563
806	14814	3542
807	14824	3522
808	14833	3502
809	14842	3481
810	14851	3461
811	14859	3440
812	14868	3419
813	14876	3399
814	14885	3378
815	14896	3358
816	14906	3338
817	14920	3319
818	14933	3300
819	14945	3280
820	14956	3260
821	14969	3241
822	14981	3221
823	14995	3202
824	15006	3183
825	15018	3163
826	15030	3144
827	15044	3125
828	15056	3105
829	15068	3086
830	15076	3066
831	15085	3046
832	15093	3025
833	15104	3006
834	15112	2986
835	15122	2966
836	15131	2946
837	15141	2927
838	15149	2907
839	15158	2887
840	15166	2867
841	15176	2847
842	15184	2827
843	15193	2808
844	15201	2788
845	15210	2768
846	15221	2749
847	15229	2729
848	15238	2710
849	15247	2690
850	15255	2671
851	15263	2651
852	15271	2631
853	15279	2612
854	15292	2593
855	15300	2573
